"Mental Health related emergency department visits (annual) by Age (years) for Total mental health presentations by Sex"
"Age (years)","Presentation type","Sex","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"65 years and over","Total mental health presentations","Males","22/23","804.9","783.5","826.8"
"65 years and over","Total mental health presentations","Males","23/24","715.9","695.9","736.2"
"65 years and over","Total mental health presentations","Males","24/25","741.2","721.2","761.7"
"65 years and over","Total mental health presentations","Females","12/13","651.4","630.9","672.4"
"65 years and over","Total mental health presentations","Females","13/14","655.8","635.5","676.6"
"65 years and over","Total mental health presentations","Females","14/15","669.9","649.6","690.6"
"65 years and over","Total mental health presentations","Females","15/16","661.7","641.9","682.1"
"65 years and over","Total mental health presentations","Females","16/17","723.2","702.6","744.1"
"65 years and over","Total mental health presentations","Females","17/18","694.1","674.2","714.4"
"65 years and over","Total mental health presentations","Females","18/19","709.1","689.3","729.4"
"65 years and over","Total mental health presentations","Females","19/20","677.4","658.2","696.9"
"65 years and over","Total mental health presentations","Females","20/21","681.7","662.8","701.0"
"65 years and over","Total mental health presentations","Females","21/22","776.8","756.9","797.1"
"65 years and over","Total mental health presentations","Females","22/23","809.7","789.6","830.2"
"65 years and over","Total mental health presentations","Females","23/24","736.4","717.5","755.7"
"65 years and over","Total mental health presentations","Females","24/25","738.4","719.7","757.5"
"65 years and over","Total mental health presentations","Persons","12/13","590.7","576.3","605.3"
"65 years and over","Total mental health presentations","Persons","13/14","592.4","578.2","606.8"
"65 years and over","Total mental health presentations","Persons","14/15","618.3","604.0","632.8"
"65 years and over","Total mental health presentations","Persons","15/16","605.2","591.2","619.3"
"65 years and over","Total mental health presentations","Persons","16/17","665.8","651.3","680.4"
"65 years and over","Total mental health presentations","Persons","17/18","653.9","639.8","668.2"
"65 years and over","Total mental health presentations","Persons","18/19","665.0","650.9","679.3"
"65 years and over","Total mental health presentations","Persons","19/20","643.0","629.4","656.9"
"65 years and over","Total mental health presentations","Persons","20/21","652.0","638.5","665.8"
"65 years and over","Total mental health presentations","Persons","21/22","751.1","736.8","765.6"
"65 years and over","Total mental health presentations","Persons","22/23","807.5","792.8","822.4"
"65 years and over","Total mental health presentations","Persons","23/24","726.8","713.1","740.8"
"65 years and over","Total mental health presentations","Persons","24/25","739.8","726.1","753.6"
"All ages","Total mental health presentations","Males","12/13","1,110.0","1,099.2","1,120.9"
"All ages","Total mental health presentations","Males","13/14","1,149.2","1,138.3","1,160.2"
"All ages","Total mental health presentations","Males","14/15","1,229.0","1,217.8","1,240.3"
"All ages","Total mental health presentations","Males","15/16","1,286.0","1,274.6","1,297.5"
"All ages","Total mental health presentations","Males","16/17","1,317.4","1,306.0","1,329.0"
"All ages","Total mental health presentations","Males","17/18","1,324.2","1,312.8","1,335.7"
"All ages","Total mental health presentations","Males","18/19","1,397.8","1,386.2","1,409.5"
"All ages","Total mental health presentations","Males","19/20","1,399.4","1,387.8","1,411.1"
"All ages","Total mental health presentations","Males","20/21","1,386.6","1,375.1","1,398.1"
"All ages","Total mental health presentations","Males","21/22","1,394.6","1,383.1","1,406.2"
"All ages","Total mental health presentations","Males","22/23","1,465.9","1,454.2","1,477.7"
"All ages","Total mental health presentations","Males","23/24","1,491.5","1,479.8","1,503.3"
"All ages","Total mental health presentations","Males","24/25","1,473.0","1,461.5","1,484.6"
"All ages","Total mental health presentations","Females","12/13","1,243.5","1,232.2","1,255.0"
"All ages","Total mental health presentations","Females","13/14","1,293.5","1,282.0","1,305.1"
"All ages","Total mental health presentations","Females","14/15","1,318.8","1,307.3","1,330.5"
"All ages","Total mental health presentations","Females","15/16","1,370.9","1,359.2","1,382.6"
"All ages","Total mental health presentations","Females","16/17","1,422.7","1,410.9","1,434.6"
"All ages","Total mental health presentations","Females","17/18","1,398.3","1,386.7","1,410.0"
"All ages","Total mental health presentations","Females","18/19","1,486.5","1,474.6","1,498.5"
"All ages","Total mental health presentations","Females","19/20","1,473.5","1,461.7","1,485.4"
"All ages","Total mental health presentations","Females","20/21","1,620.6","1,608.2","1,633.0"
"All ages","Total mental health presentations","Females","21/22","1,661.0","1,648.5","1,673.6"
"All ages","Total mental health presentations","Females","22/23","1,649.2","1,636.8","1,661.7"
"All ages","Total mental health presentations","Females","23/24","1,606.0","1,593.9","1,618.2"
"All ages","Total mental health presentations","Females","24/25","1,586.6","1,574.7","1,598.6"
"All ages","Total mental health presentations","Persons","12/13","1,177.3","1,169.5","1,185.2"
"All ages","Total mental health presentations","Persons","13/14","1,222.0","1,214.0","1,230.0"
