"Mental health related emergency department visits (monthly) by Age (years) for Total mental health presentations by Sex and LHD"
"Age (years)","Presentation type","Sex","LHD","Period","Crude rate per 100,000 population","LL 95% CI","UL 95% CI"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q2","321.7","266.5","385.0"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q3","316.3","261.6","379.1"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2022-Q4","307.5","253.6","369.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q1","293.9","241.9","353.8"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q2","277.5","227.0","335.8"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q3","276.8","226.4","335.1"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2023-Q4","290.0","238.3","349.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q1","279.4","229.0","337.6"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q2","276.8","226.6","334.8"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q3","268.9","219.5","326.2"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2024-Q4","252.6","204.8","308.3"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q1","255.3","207.3","310.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q2","254.0","206.2","309.5"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q3","255.3","207.3","310.9"
"12-17 years","Total mental health presentations","Males","Northern Sydney LHD","2025-Q4","254.0","206.2","309.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2015-Q4","387.3","286.5","512.0"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2016-Q1","438.6","331.1","569.9"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2016-Q2","474.0","362.0","609.9"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2016-Q3","446.5","338.0","578.8"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2016-Q4","432.7","326.0","563.3"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2017-Q1","406.8","303.8","533.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2017-Q2","428.3","322.4","557.8"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2017-Q3","434.1","327.5","564.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2017-Q4","459.6","349.6","593.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2018-Q1","462.9","353.5","595.6"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2018-Q2","499.4","385.4","636.6"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2018-Q3","593.5","468.6","741.6"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2018-Q4","607.0","480.6","756.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2019-Q1","619.0","492.1","768.6"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2019-Q2","564.1","443.3","707.6"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2019-Q3","543.3","424.9","684.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2019-Q4","537.6","419.9","678.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2020-Q1","543.6","425.7","684.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2020-Q2","583.0","460.7","727.9"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2020-Q3","588.6","465.7","734.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2020-Q4","603.6","479.0","750.8"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2021-Q1","584.0","462.0","728.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2021-Q2","558.0","438.9","699.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2021-Q3","548.7","430.7","689.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2021-Q4","541.3","424.1","680.8"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2022-Q1","530.0","414.5","667.7"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2022-Q2","520.7","406.3","657.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2022-Q3","526.3","411.2","663.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2022-Q4","518.9","404.7","655.3"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2023-Q1","550.2","433.1","689.2"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2023-Q2","577.5","457.4","719.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2023-Q3","544.7","428.3","683.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2023-Q4","528.3","413.8","664.8"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2024-Q1","474.0","367.7","601.4"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2024-Q2","486.3","378.5","615.1"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2024-Q3","514.3","403.3","646.5"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2024-Q4","521.4","409.6","654.3"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2025-Q1","552.4","437.5","688.2"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2025-Q2","524.5","412.7","657.2"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2025-Q3","521.0","409.6","653.3"
"12-17 years","Total mental health presentations","Males","Central Coast LHD","2025-Q4","508.8","398.8","639.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2015-Q4","480.6","409.9","560.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q1","501.2","428.9","582.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q2","501.2","428.9","582.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q3","460.1","391.0","538.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2016-Q4","425.0","358.6","500.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q1","393.1","329.6","465.3"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q2","408.4","343.6","481.9"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q3","428.1","361.7","503.1"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2017-Q4","447.7","379.8","524.4"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q1","469.9","400.6","547.8"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q2","454.1","386.0","530.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q3","467.0","397.9","544.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2018-Q4","468.5","399.3","546.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q1","455.6","387.9","531.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q2","468.3","399.6","545.4"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q3","496.7","425.8","575.9"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2019-Q4","524.3","451.5","605.5"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q1","552.5","478.3","634.9"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q2","552.5","478.3","634.9"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q3","569.2","493.9","652.8"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2020-Q4","606.1","528.3","692.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q1","611.7","534.4","696.9"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q2","645.6","566.2","733.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q3","629.3","550.9","715.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2021-Q4","630.7","552.2","717.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q1","594.8","519.7","677.8"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q2","570.4","496.8","651.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q3","569.1","495.6","650.3"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2022-Q4","547.3","475.3","627.1"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q1","519.4","449.7","596.8"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q2","529.2","458.8","607.2"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q3","517.4","447.9","594.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2023-Q4","510.9","441.8","587.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q1","492.9","425.2","568.3"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q2","472.1","405.8","546.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q3","479.2","412.5","553.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2024-Q4","466.2","400.4","539.7"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q1","464.5","399.1","537.6"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q2","465.8","400.3","539.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q3","440.6","377.0","512.0"
"12-17 years","Total mental health presentations","Males","Hunter New England LHD","2025-Q4","426.4","363.8","496.7"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2015-Q4","462.2","344.4","607.3"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q1","504.1","380.0","655.7"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q2","449.3","332.7","593.6"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q3","483.5","362.2","632.5"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2016-Q4","442.5","326.8","585.8"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q1","425.4","311.7","567.0"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q2","432.3","317.6","574.9"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q3","423.1","309.8","564.4"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2017-Q4","492.1","369.1","642.9"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q1","541.9","413.0","698.3"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q2","541.9","413.0","698.3"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q3","562.4","430.9","721.3"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2018-Q4","560.1","428.9","718.8"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q1","602.7","467.3","765.1"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q2","620.6","483.1","785.1"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q3","618.4","481.1","782.6"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2019-Q4","643.0","502.9","810.1"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q1","594.7","461.3","754.5"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q2","632.1","494.4","796.3"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q3","702.6","556.9","874.7"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2020-Q4","707.0","560.8","879.6"
"12-17 years","Total mental health presentations","Males","Northern NSW LHD","2021-Q1","692.5","549.9","860.7"
